GENESIS-Tabelle: 91111-0001
Indikatoren zur nachhaltigen Entwicklung: Deutschland, Jahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nachhaltige Entwicklung in Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indikatoren (jew. ME);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
NE2-11-01-A-4;    Anstieg der Siedlungsfläche (ha/Tag);.;.;.;.;.;.;87,20;83,41;86,76;86,78;86,93;69,86;65,75;44,93;60,11;34,62;29,59;39,73;34,97;27,95;33,15;29,61;40,00;29,01;21,91;39,63;/;31,80;32,04;33,00;40,00;...;...
NE2-11-01-A-5;    Anstieg der Erholungsfläche, Friedhof (ha/Tag);.;.;.;.;.;.;8,69;20,20;20,56;20,57;20,80;29,00;21,10;34,00;45,72;56,99;51,78;32,60;38,62;32,05;23,29;27,06;18,49;23,06;17,93;11,61;/;14,92;10,01;10,00;12,00;...;...
NE2-11-01-B-1;    Veränderung d.Freiraumfläche je Einw., gl.4JD (m2);.;.;.;.;.;.;.;.;.;.;.;.;.;.;-5,10;-4,97;-4,85;-4,73;-4,61;-4,33;-4,04;-4,22;-3,80;-3,64;-3,69;-2,88;/;-2,76;-2,80;-2,77;-2,84;...;...
NE2-11-01-B-2;    Veränd.Freiraumfl. je Einw.,n.ländlich,gl.4JD (m2);.;.;.;.;.;.;.;.;.;.;.;.;.;.;-1,80;-1,77;-1,74;-1,70;-1,67;-1,55;-1,47;-1,39;-1,23;-1,18;-1,05;-0,95;/;-0,64;-0,57;-0,48;-0,65;...;...
NE2-11-01-B-3;    Veränd.Freiraumfl. je Einw., ländlich, gl.4JD (m2);.;.;.;.;.;.;.;.;.;.;.;.;.;.;-7,45;-7,26;-7,08;-6,91;-6,74;-6,36;-5,91;-6,31;-5,70;-5,46;-5,66;-4,32;/;-4,37;-4,49;-4,51;-4,50;...;...
NE2-11-01-C-1;    Siedlungsdichte (2000=100);.;.;.;.;.;.;.;.;.;.;100,00;99,27;98,45;97,53;96,60;95,73;94,80;93,92;92,92;92,14;91,54;90,81;90,58;90,43;90,36;91,13;91,12;90,96;90,63;90,49;90,11;...;...
NE2-11-01-C-2;    Siedlungsdichte in nicht ländl. Räumen (2000=100);.;.;.;.;.;.;.;.;.;.;100,00;99,69;99,28;98,80;98,27;97,89;97,53;97,18;96,70;96,36;96,22;96,30;96,66;97,00;97,53;98,64;99,01;99,18;99,41;99,50;99,21;...;...
NE2-11-01-C-3;    Siedlungsdichte in ländlichen Räumen (2000=100);.;.;.;.;.;.;.;.;.;.;100,00;99,11;98,14;97,04;95,95;94,84;93,62;92,47;91,21;90,20;89,33;88,22;87,67;87,24;86,90;87,46;87,25;86,93;86,42;86,19;85,82;...;...
NE2-11-02;  Mobilität;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-11-02-A-1;    Endenergieverbr. durch Güterbeförderung (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;105,26;108,52;106,83;96,96;100,82;102,31;100,22;101,05;101,53;102,63;103,27;104,29;104,70;105,14;101,83;...;...
NE2-11-02-A-2;    Güterbeförderungsleistung (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;107,46;112,23;112,91;100,47;108,18;108,28;106,51;109,19;111,06;113,69;116,58;119,44;120,06;121,15;115,94;...;...
NE2-11-02-A-3;    Energieverbrauch je Tonnenkilometer (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;97,95;96,69;94,61;96,50;93,20;94,48;94,09;92,54;91,41;90,27;88,58;87,32;87,21;86,79;87,83;...;...
NE2-11-02-B-1;    Endenergieverbrauch im Personenverkehr (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;99,35;99,41;98,26;99,36;99,20;99,87;99,14;99,06;99,95;99,20;100,06;100,38;100,06;100,52;85,51;...;...
NE2-11-02-B-2;    Personenbeförderungsleistung (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;101,23;101,53;102,35;102,30;102,85;103,51;104,01;104,20;104,16;104,91;105,92;106,38;106,52;106,79;85,69;...;...
NE2-11-02-B-3;    Energieverbrauch je Personenkilometer (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;98,14;97,91;96,01;97,13;96,45;96,48;95,31;95,07;95,96;94,56;94,47;94,36;93,94;94,12;99,79;...;...
NE2-11-02-C-1;    Reisezeit m.öff.Verk.z.nächst.Zentrum jew.J (Min.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;23,49;.;.;.;22,41;.;21,86;.;20,59;...;...
NE2-11-02-C-2;    Reisezeit m.öff.Verk.bez.auf Zentren v.2012 (Min.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;23,50;.;.;.;22,75;.;22,50;.;21,30;...;...
NE2-11-03;  Wohnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-11-03-A;    Anteil d.Pers. m. Überlastung durch Wohnkosten (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;14,50;16,10;16,60;16,40;15,90;15,60;15,80;14,50;14,20;13,90;9,00;10,70;...
NE2-11-04;  Kulturerbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-11-04-A-1;    Objekte der Deutschen Digitalen Bibliothek (Mill.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5,60;6,90;11,20;18,20;20,40;23,70;24,20;32,10;35,60;40,20;42,30
NE2-11-04-A-2;    Objekte mit Digitalisat der Dt. Dig. Bib. (Mill.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6,28;8,13;9,67;9,73;12,95;11,95;14,37;14,89
NE2-12;Nachhaltige/r Konsum und Produktion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-12-01;  Nachhaltiger Konsum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-12-01-A;    Marktanteil v.Prod.m.staatlichen Umweltzeichen (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3,60;4,40;5,90;7,60;8,60;8,30;7,40;7,90;...;...;...
NE2-12-01-B-1;    Rohstoffeinsatz durch Konsum priv.Haush.(2010=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;101,38;99,69;98,46;99,39;97,70;101,23;100,00;100,00;...;...;...;...
NE2-12-01-B-2;    Energieverbrauch durch Konsum priv.Hsh. (2010=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;95,75;95,04;96,49;90,04;92,35;95,04;94,06;...;...;...;...;...
NE2-12-01-B-3;    CO2-Emissionen durch Konsum priv.Haush. (2010=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;97,40;97,98;98,72;91,77;93,66;93,84;92,09;...;...;...;...;...
NE2-12-02;  Nachhaltige Produktion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-12-02-A-1;    EMAS-Organisationsstandorte (Anzahl);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1958,00;1985,00;1956,00;1917,00;1906,00;1913,00;1909,00;1828,00;1862,00;1906,00;2004,00;2073,00;2182,00;2167,00;2176,00;2184,00;2290,00;...
NE2-12-02-A-2;    Beschäftigte in EMAS-Organisationen (1000);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;961,26;926,30;860,49;840,01;802,83;780,76;764,74;772,77;787,53;785,43;800,64;842,30;985,20;929,24;988,40;859,75;911,04;...
NE2-12-03;  Nachhaltige Beschaffung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-12-03-A;    Anteil Papier an Gesamtpapierverbrauch (2015=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;136,80;147,74;197,46;204,07;212,89;...;...
NE2-12-03-B;    CO2-Emissionen je Fahrleistung Kfz (2015=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;99,98;100,05;99,99;100,63;101,77;...;...
NE2-13;Maßnahmen zum Klimaschutz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-13-01;  Klimaschutz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-13-01-A;    Treibhausgasemissionen in CO2-Äquival. (1990=100);100,00;96,30;92,31;91,59;90,16;89,80;91,26;88,44;86,41;83,68;83,49;84,79;83,07;82,83;81,47;79,45;80,02;77,95;78,02;72,69;75,35;73,37;73,83;75,21;72,02;72,30;72,58;71,32;68,49;64,40;58,68;61,30;...
NE2-13-01-B;    Deutsche Zahlungen z. Klimafinanzierung (Mrd. EUR);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1,56;1,66;1,95;2,34;2,68;3,36;3,65;3,37;4,34;5,09;5,34;...
NE2-14;Leben unter Wasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-14-01;  Meere und Meeresressourcen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-14-01-A-1;    Stickstoffeintrag in die Ostsee, gl.5JD (mg/l);.;.;.;.;.;.;.;.;.;.;3,83;3,96;4,18;3,74;3,58;3,58;3,52;3,52;3,69;3,60;3,75;3,78;3,45;3,41;3,35;3,15;2,95;3,19;3,14;3,17;3,07;...;...
NE2-14-01-A-2;    Stickstoffeintrag in die Nordsee, gl.5JD (mg/l);.;.;.;.;.;.;.;.;.;.;4,02;3,83;3,76;3,62;3,58;3,55;3,56;3,48;3,45;3,38;3,39;3,30;3,17;3,16;3,09;2,98;2,92;2,97;2,84;2,82;2,76;...;...
NE2-14-01-B-1;    MSY-unters.Fischbest. a.allen bewirt.Fischbest.(%);.;.;.;.;.;.;.;.;.;.;.;.;.;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;38,46;...;...
NE2-14-01-B-2;    Anteil nachh. befischter Fischbestände an MSY (%);.;.;.;.;.;.;.;.;.;.;.;.;.;33,33;23,33;20,00;16,67;20,00;26,67;36,67;40,00;40,00;50,00;43,33;40,00;43,33;43,33;43,33;43,33;46,67;60,00;...;...
NE2-14-01-B-3;    Ant.nachh. befischter Fischbest.i.d.Nordsee MSY(%);.;.;.;.;.;.;.;.;.;.;.;.;.;40,91;27,27;22,73;18,18;22,73;27,27;40,91;40,91;40,91;50,00;40,91;36,36;45,45;45,45;45,45;45,45;45,45;59,09;...;...
NE2-14-01-B-4;    Ant.nachh. befischter Fischbest.i.d.Ostsee MSY (%);.;.;.;.;.;.;.;.;.;.;.;.;.;12,50;12,50;12,50;12,50;12,50;25,00;25,00;37,50;37,50;50,00;50,00;50,00;37,50;37,50;37,50;37,50;50,00;62,50;...;...
NE2-15;Leben an Land;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-15-01;  Artenvielfalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-15-01-A-1;    Artenvielfalt der Vögel (Zieljahr 2030=100);76,57;72,27;71,29;73,10;76,60;73,08;76,05;72,78;70,14;74,82;71,86;71,12;69,74;69,81;72,46;70,99;70,21;70,06;70,34;67,22;67,97;66,20;70,41;67,81;67,01;69,77;70,50;...;...;...;...;...;...
NE2-15-01-A-2;    Artenvielfalt d. Vögel, Wälder (Zieljahr 2030=100);81,62;77,15;76,79;77,78;80,79;70,72;77,96;76,73;70,61;75,52;73,42;74,82;74,31;78,53;79,19;79,60;78,60;75,28;81,81;73,27;79,54;80,19;86,99;87,07;84,29;90,83;87,51;...;...;...;...;...;...
NE2-15-01-A-3;    Artenvielfalt der Vögel, Siedlungen (Zj. 2030=100);80,76;73,73;68,36;75,14;71,93;75,15;85,29;77,36;75,51;74,90;69,78;69,65;63,37;59,16;66,46;66,47;65,08;66,04;63,19;63,83;66,52;70,47;70,70;67,52;69,62;72,21;75,50;...;...;...;...;...;...
NE2-15-01-A-4;    Artenvielfalt der Vögel, Agrarland (Zj. 2030=100);74,22;71,24;70,11;70,86;75,74;73,85;75,22;71,12;69,14;75,18;71,70;68,57;68,84;67,83;70,67;67,97;68,00;68,03;65,79;64,74;62,36;57,59;62,05;57,56;56,99;58,05;60,49;...;...;...;...;...;...
NE2-15-01-A-5;    Artenvielfalt d.Vögel,Binnengewässer (Zj.2030=100);64,13;55,76;57,34;63,73;68,52;67,53;58,21;58,58;61,49;67,23;67,44;73,73;66,95;66,67;71,99;69,04;63,14;72,93;76,97;70,59;68,20;69,47;72,11;72,95;73,60;74,03;74,99;...;...;...;...;...;...
NE2-15-01-A-6;    Artenvielfalt d. Vögel, Küsten/Meere (Zj.2030=100);79,68;72,33;78,96;79,38;85,82;85,36;74,30;76,43;80,45;76,91;76,79;80,85;71,78;68,11;63,55;63,58;63,17;65,64;55,09;59,42;62,17;62,48;56,15;56,62;56,59;58,96;57,98;...;...;...;...;...;...
NE2-15-01-A-7;    Artenvielfalt der Vögel, Alpen (Zieljahr 2030=100);/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;/;...;...;...;...;...;...
NE2-15-02;  Ökosysteme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-15-02-A;    Ökosysteme mit schädlichem Stickstoffeintrag (%);.;.;.;.;.;.;.;.;.;.;84,38;.;.;.;.;79,45;.;.;.;.;75,75;.;.;.;.;68,68;71,59;71,33;68,81;68,51;...;...;...
NE2-15-03;  Wälder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-15-03-A;    Zahlungen zum Erhalt von Wäldern (Mill. EUR);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3,00;20,00;12,00;24,90;36,30;31,00;15,70;59,75;67,95;63,00;63,50;24,20;...;...
NE2-15-03-B;    Bruttoentw.ausg. f. int. Bodenschutz (Mill. EUR);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;40,01;152,50;198,59;245,26;248,73;239,73;271,92;347,38;483,42;571,84;745,58;703,53;...;...
NE2-16;Frieden, Gerechtigkeit und starke Institutionen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-16-01;  Kriminalität;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-16-01-A-1;    Straftaten (je 100000 Einwohner);.;.;.;8354,09;8062,64;8211,89;8165,84;8078,66;7923,24;7742,64;7691,75;7811,68;7977,82;8055,25;8137,92;7851,87;7757,17;7751,51;7556,89;7509,80;7384,65;7467,62;7465,70;7403,60;7530,30;7796,60;7754,76;6982,40;6710,19;6548,36;6385,51;6070,42;...
NE2-16-01-A-2;    Wohnungseinbruchsdiebstahl (je 100000 Einw.);.;.;.;281,03;260,19;260,10;240,52;223,25;204,61;183,11;171,91;164,14;159,44;151,10;152,32;134,80;130,56;134,60;133,84;141,16;151,03;165,28;179,41;185,70;188,30;205,80;184,08;141,20;117,77;104,97;90,21;65,22;...
NE2-16-01-A-3;    Gefährl.u.schwere Körperverletz. (je 100000 Einw.);.;.;.;108,64;108,57;117,92;124,48;130,29;135,32;140,69;143,54;147,72;155,61;162,54;171,45;180,73;185,65;190,99;186,89;185,19;177,86;173,38;169,40;158,80;155,70;156,90;170,41;166,30;165,14;160,31;156,86;147,12;...
NE2-16-01-A-4;    Betrug (je 100000 Einwohner);.;.;.;653,92;724,44;767,39;796,80;822,87;865,74;881,27;947,08;973,91;966,31;1073,72;1155,52;1166,93;1174,21;1125,97;1097,43;1185,58;1204,99;1165,37;1193,25;1164,70;1199,60;1190,10;1094,00;1103,20;1015,53;1003,34;971,63;954,39;...
NE2-16-01-A-5;    Sonstige Straftaten (je 100000 Einwohner);.;.;.;7310,50;6969,44;7066,48;7004,05;6902,25;6717,58;6537,57;6429,23;6525,91;6696,45;6667,89;6658,62;6369,41;6266,75;6299,95;6138,74;5997,87;5850,77;5963,58;5923,63;5894,40;5986,70;6243,80;6306,28;5571,70;5411,74;5279,75;5166,82;4903,69;...
NE2-16-02;  Frieden und Sicherheit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-16-02-A;    Kleinwaffenkontrollen durch Deutschland (Anzahl);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8,00;6,00;8,00;2,00;3,00;11,00;15,00;14,00;15,00;26,00;26,00;19,00;36,00;31,00;38,00;38,00;...
NE2-16-03;  Korruptionsbekämpfung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-16-03-A;    Corruption Perception Index in Dtld. (Punkte);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;79,00;78,00;79,00;81,00;81,00;81,00;80,00;80,00;80,00;80,00;...
NE2-16-03-B;    Partnerländer dt.EZ m. Verbesserung b.CPI (Anzahl);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;20,00;40,00;43,00;45,00;45,00;44,00;45,00;47,00;48,00;...
NE2-17;Partnerschaften zur Erreichung der Ziele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-17-01;  Entwicklungszusammenarbeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-17-01-A-1;    Anteil öff.Entw.-ausg.a.BNE,ber.als Netto-Ausg.(%);.;.;.;.;.;0,31;0,32;0,28;0,26;0,26;0,27;0,27;0,27;0,28;0,28;0,36;0,36;0,37;0,38;0,35;0,39;0,39;0,37;0,38;0,42;0,52;0,70;0,67;.;.;.;.;...
NE2-17-01-A-2;    Ant.öff.Entw.-ausg.am BNE,ber.i.Zuschussäquiv. (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,61;0,61;0,73;0,74;...
NE2-17-02;  Wissenstransfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-17-02-A-1;    Studierende,Forschende a.Entwicklungsländern(1000);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;140,52;141,29;136,09;140,83;147,15;153,69;158,56;170,62;185,79;200,35;215,26;230,69;247,44;267,25;285,45;298,15;316,00;...
NE2-17-02-A-2;    Studierende aus LDCs (1000);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4,96;5,01;4,93;5,33;5,74;6,30;6,93;7,58;8,35;9,24;9,75;10,12;10,58;11,53;13,07;15,06;17,11;...
NE2-17-02-A-3;    Studierende aus übrigen Entwicklungsländern (1000);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;129,50;129,63;124,18;127,07;131,63;136,45;140,30;150,88;164,10;176,77;190,40;204,70;219,31;236,61;251,49;260,00;273,34;...
NE2-17-02-A-4;    Forschende aus LDCs (1000);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,21;0,21;0,21;0,25;0,30;0,33;0,38;0,42;0,48;0,50;0,52;0,56;0,65;0,69;0,68;0,84;0,92;...
NE2-17-02-A-5;    Forschende aus übrigen Entwicklungsländern (1000);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5,85;6,43;6,77;8,18;9,48;10,61;10,95;11,74;12,87;13,84;14,59;15,32;16,90;18,43;20,21;22,26;24,62;...
NE2-17-03;  Märkte öffnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-17-03-A-1;    Anteil Einfuhren aus LDCs a.d. Gesamteinfuhren (%);.;.;.;.;.;.;.;.;.;.;.;.;0,44;0,52;0,52;0,44;0,49;0,52;0,46;0,58;0,53;0,67;0,62;0,71;0,71;0,81;0,88;0,94;0,94;0,94;0,98;1,03;...
NE2-17-03-A-2;    Ant. Einfuhren v.weiterverarb.Produkten a.LDCs (%);.;.;.;.;.;.;.;.;.;.;.;.;0,36;0,49;0,49;0,40;0,45;0,45;0,36;0,52;0,47;0,54;0,54;0,62;0,66;0,76;0,82;0,88;0,89;0,89;0,92;0,91;...
__________
