GENESIS-Tabelle: 21211-0104
Ausbildungsverträge: Bundesländer, Jahre, Nationalität, Geschlecht, Ausbildungsbereich;;;;;;;;;;;;;;;;;;;
Berufsbildungsstatistik;;;;;;;;;;;;;;;;;;;
Neu abgeschlossene Ausbildungsverträge (Anzahl);;;;;;;;;;;;;;;;;;;
;;;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
2011;Öffentlicher Dienst;Deutsche;männlich;480;534;207;153;45;39;384;117;558;933;237;27;204;126;186;84
2011;Öffentlicher Dienst;Deutsche;weiblich;1302;867;399;228;84;93;756;159;774;1515;330;63;384;225;276;201
2011;Öffentlicher Dienst;Deutsche;Insgesamt;1782;1401;606;384;129;132;1143;276;1329;2448;567;90;588;351;462;282
2011;Öffentlicher Dienst;Ausländer;männlich;18;6;6;0;0;0;9;-;9;18;3;0;0;0;0;0
2011;Öffentlicher Dienst;Ausländer;weiblich;33;15;9;0;0;0;27;0;9;39;6;0;3;3;-;0
2011;Öffentlicher Dienst;Ausländer;Insgesamt;48;21;15;0;0;3;36;0;18;57;9;0;3;3;0;0
2011;Öffentlicher Dienst;Insgesamt;männlich;498;540;213;156;45;39;393;117;567;951;240;30;204;126;186;84
2011;Öffentlicher Dienst;Insgesamt;weiblich;1332;882;408;228;87;93;786;162;783;1554;333;63;387;228;276;201
2011;Öffentlicher Dienst;Insgesamt;Insgesamt;1830;1422;621;384;129;132;1179;276;1347;2505;576;90;588;354;462;285
2011;Freie Berufe;Deutsche;männlich;177;357;120;54;21;90;150;60;309;579;111;48;87;42;135;36
2011;Freie Berufe;Deutsche;weiblich;4563;6621;1377;477;393;768;2289;393;4128;8196;1800;489;822;441;1467;417
2011;Freie Berufe;Deutsche;Insgesamt;4740;6978;1497;531;414;855;2439;450;4440;8775;1911;537;909;483;1605;453
2011;Freie Berufe;Ausländer;männlich;12;24;3;0;0;0;12;0;9;33;3;0;0;0;3;0
2011;Freie Berufe;Ausländer;weiblich;804;774;177;9;48;108;414;6;147;963;177;51;15;9;60;3
2011;Freie Berufe;Ausländer;Insgesamt;816;798;180;9;48;108;426;6;156;996;180;51;15;9;63;6
2011;Freie Berufe;Insgesamt;männlich;189;378;126;54;24;90;162;60;318;609;114;48;90;42;138;36
2011;Freie Berufe;Insgesamt;weiblich;5367;7398;1554;486;441;876;2703;396;4278;9159;1977;540;837;450;1527;420
2011;Freie Berufe;Insgesamt;Insgesamt;5556;7776;1677;540;465;966;2865;456;4596;9768;2094;588;924;492;1668;456
2011;Hauswirtschaft;Deutsche;männlich;15;21;21;15;6;3;-;15;27;54;15;3;21;21;-;18
2011;Hauswirtschaft;Deutsche;weiblich;420;381;99;96;54;27;-;105;375;504;225;57;159;123;-;159
2011;Hauswirtschaft;Deutsche;Insgesamt;435;402;120;111;60;30;-;117;402;561;240;60;183;144;-;177
2011;Hauswirtschaft;Ausländer;männlich;0;0;3;-;0;0;-;-;3;3;-;0;-;-;-;-
2011;Hauswirtschaft;Ausländer;weiblich;93;6;12;0;0;3;-;0;15;45;12;3;-;0;-;0
2011;Hauswirtschaft;Ausländer;Insgesamt;93;6;15;0;3;3;-;0;18;48;12;3;-;0;-;0
2011;Hauswirtschaft;Insgesamt;männlich;15;21;24;15;6;3;-;15;30;57;15;3;21;21;-;18
2011;Hauswirtschaft;Insgesamt;weiblich;513;384;111;96;54;30;-;105;390;549;240;63;159;123;-;159
2011;Hauswirtschaft;Insgesamt;Insgesamt;528;405;135;111;60;30;-;117;420;606;255;66;183;147;-;177
2011;Insgesamt;Deutsche;männlich;41460;53274;9258;7380;3189;7089;21936;5304;35121;71802;16464;4332;11937;7716;11952;7116
2011;Insgesamt;Deutsche;weiblich;28725;37740;7428;4434;2514;5556;14502;3441;23868;46410;10632;3000;7812;4557;8265;4224
2011;Insgesamt;Deutsche;Insgesamt;70185;91011;16686;11814;5703;12645;36438;8745;58989;118212;27096;7335;19749;12273;20214;11340
2011;Insgesamt;Ausländer;männlich;4512;3672;531;126;171;549;2067;42;1026;4212;810;156;111;51;258;66
2011;Insgesamt;Ausländer;weiblich;3501;2889;594;75;132;414;1698;24;720;3108;618;153;111;33;198;36
2011;Insgesamt;Ausländer;Insgesamt;8013;6558;1128;201;303;963;3765;66;1746;7320;1428;309;222;84;456;102
2011;Insgesamt;Insgesamt;männlich;45972;56943;9789;7506;3357;7638;24003;5346;36150;76014;17274;4491;12048;7767;12210;7182
2011;Insgesamt;Insgesamt;weiblich;32226;40626;8025;4509;2649;5970;16200;3468;24585;49521;11250;3153;7920;4590;8460;4260
2011;Insgesamt;Insgesamt;Insgesamt;78198;97572;17814;12015;6006;13608;40203;8814;60735;125532;28524;7644;19968;12357;20670;11442
2012;Industrie und Handel;Deutsche;männlich;25800;30453;5907;4443;2304;4998;13404;2994;18321;43752;9135;2403;7200;4452;6045;4320
2012;Industrie und Handel;Deutsche;weiblich;17232;22260;4191;2541;1557;3882;8976;2190;12729;28074;6105;1758;4443;2766;4629;2541
2012;Industrie und Handel;Deutsche;Insgesamt;43032;52713;10098;6984;3861;8883;22380;5184;31050;71826;15240;4164;11643;7215;10674;6861
2012;Industrie und Handel;Ausländer;männlich;2616;2322;381;54;114;330;1296;42;540;2457;360;69;84;27;132;84
2012;Industrie und Handel;Ausländer;weiblich;1791;1518;267;30;60;222;858;30;381;1470;270;81;54;15;78;42
2012;Industrie und Handel;Ausländer;Insgesamt;4410;3840;648;81;177;549;2154;75;924;3927;630;153;138;42;210;126
2012;Industrie und Handel;Insgesamt;männlich;28416;32772;6288;4497;2418;5328;14700;3036;18861;46209;9495;2475;7284;4479;6177;4404
2012;Industrie und Handel;Insgesamt;weiblich;19026;23778;4458;2568;1617;4104;9834;2223;13110;29544;6372;1842;4497;2781;4710;2583
2012;Industrie und Handel;Insgesamt;Insgesamt;47442;56550;10746;7065;4035;9432;24534;5259;31971;75753;15870;4314;11781;7260;10884;6987
2012;Handwerk;Deutsche;männlich;12942;18819;2757;2115;732;1626;7071;1395;12921;22821;5940;1665;3096;2070;4731;1938
2012;Handwerk;Deutsche;weiblich;4212;6147;1176;552;360;627;2082;420;4164;6753;1839;519;1131;699;1512;606
2012;Handwerk;Deutsche;Insgesamt;17154;24966;3933;2667;1092;2253;9156;1815;17085;29577;7779;2184;4230;2769;6243;2544
2012;Handwerk;Ausländer;männlich;1800;1401;171;21;45;180;729;24;435;1602;399;96;30;6;111;15
2012;Handwerk;Ausländer;weiblich;903;495;120;6;24;63;291;3;183;636;135;39;12;6;66;9
2012;Handwerk;Ausländer;Insgesamt;2703;1896;288;24;69;243;1020;27;618;2238;534;135;42;9;174;24
2012;Handwerk;Insgesamt;männlich;14742;20223;2928;2133;777;1806;7800;1419;13356;24423;6342;1761;3126;2076;4839;1953
2012;Handwerk;Insgesamt;weiblich;5115;6642;1293;558;384;690;2376;426;4344;7389;1971;558;1146;702;1578;612
2012;Handwerk;Insgesamt;Insgesamt;19857;26862;4221;2691;1161;2496;10176;1842;17703;31812;8313;2319;4272;2778;6417;2565
2012;Landwirtschaft;Deutsche;männlich;1137;1593;204;327;48;111;534;300;1584;1905;507;132;495;336;558;312
2012;Landwirtschaft;Deutsche;weiblich;369;468;51;138;9;24;153;66;453;444;162;36;222;108;216;99
2012;Landwirtschaft;Deutsche;Insgesamt;1506;2061;258;468;60;135;687;369;2037;2349;672;168;717;444;774;414
2012;Landwirtschaft;Ausländer;männlich;30;3;6;3;0;0;6;0;15;33;9;0;-;0;0;-
2012;Landwirtschaft;Ausländer;weiblich;9;3;0;0;-;3;0;-;3;6;6;-;-;-;0;-
2012;Landwirtschaft;Ausländer;Insgesamt;36;6;9;3;0;3;6;0;18;39;15;0;-;0;0;-
2012;Landwirtschaft;Insgesamt;männlich;1167;1596;213;330;51;111;540;303;1599;1938;519;132;495;336;558;312
2012;Landwirtschaft;Insgesamt;weiblich;375;471;54;138;9;27;153;66;459;450;168;36;222;108;216;99
2012;Landwirtschaft;Insgesamt;Insgesamt;1542;2067;264;468;60;138;693;369;2055;2385;687;168;717;447;774;414
2012;Öffentlicher Dienst;Deutsche;männlich;483;456;180;132;39;42;327;99;498;903;237;39;204;135;93;96
2012;Öffentlicher Dienst;Deutsche;weiblich;1395;930;432;216;78;87;678;147;705;1521;318;72;384;207;225;153
2012;Öffentlicher Dienst;Deutsche;Insgesamt;1875;1383;615;348;117;129;1005;246;1206;2424;552;111;588;342;318;249
2012;Öffentlicher Dienst;Ausländer;männlich;12;9;6;0;-;0;12;-;6;21;0;3;3;0;0;0
2012;Öffentlicher Dienst;Ausländer;weiblich;57;18;12;3;3;3;33;0;12;30;6;3;0;0;0;0
2012;Öffentlicher Dienst;Ausländer;Insgesamt;69;27;15;3;3;3;45;0;18;51;6;6;3;0;0;0
2012;Öffentlicher Dienst;Insgesamt;männlich;495;462;186;132;39;42;339;99;504;927;237;39;204;135;93;96
2012;Öffentlicher Dienst;Insgesamt;weiblich;1452;948;444;219;84;90;711;150;717;1551;321;75;387;210;225;153
2012;Öffentlicher Dienst;Insgesamt;Insgesamt;1944;1410;630;351;120;132;1050;249;1221;2475;558;114;591;345;318;249
2012;Freie Berufe;Deutsche;männlich;207;375;141;57;27;84;159;54;297;630;123;57;96;39;120;39
2012;Freie Berufe;Deutsche;weiblich;4419;6489;1362;501;411;816;2337;339;4170;8262;1824;438;759;426;1473;390
2012;Freie Berufe;Deutsche;Insgesamt;4629;6864;1503;561;438;900;2499;393;4467;8892;1950;495;855;465;1593;429
2012;Freie Berufe;Ausländer;männlich;9;33;9;3;0;3;15;0;12;30;6;3;0;0;0;0
2012;Freie Berufe;Ausländer;weiblich;861;774;189;12;57;159;420;9;150;1092;210;45;15;9;57;6
2012;Freie Berufe;Ausländer;Insgesamt;870;807;198;15;57;162;435;9;162;1125;219;48;15;9;57;6
2012;Freie Berufe;Insgesamt;männlich;219;408;150;60;30;87;177;54;309;660;132;57;99;39;123;39
2012;Freie Berufe;Insgesamt;weiblich;5280;7263;1551;516;468;975;2757;348;4320;9354;2037;483;774;435;1527;396
2012;Freie Berufe;Insgesamt;Insgesamt;5499;7671;1701;576;495;1062;2934;402;4629;10017;2166;543;873;477;1650;435
2012;Hauswirtschaft;Deutsche;männlich;18;12;15;12;9;9;-;9;33;48;15;3;12;21;-;15
2012;Hauswirtschaft;Deutsche;weiblich;396;315;90;93;42;33;-;66;291;513;180;54;132;96;-;138
2012;Hauswirtschaft;Deutsche;Insgesamt;414;327;105;105;51;42;-;75;321;564;195;54;147;117;-;153
2012;Hauswirtschaft;Ausländer;männlich;3;0;0;-;0;3;-;-;3;3;0;0;-;-;-;-
2012;Hauswirtschaft;Ausländer;weiblich;57;3;9;0;3;9;-;0;9;51;6;3;-;0;-;3
2012;Hauswirtschaft;Ausländer;Insgesamt;63;6;9;0;3;15;-;0;12;51;6;3;-;0;-;3
2012;Hauswirtschaft;Insgesamt;männlich;21;12;18;12;9;12;-;9;33;51;18;3;12;21;-;15
2012;Hauswirtschaft;Insgesamt;weiblich;456;321;96;93;45;45;-;66;300;564;186;54;132;96;-;141
2012;Hauswirtschaft;Insgesamt;Insgesamt;477;333;114;105;54;57;-;75;333;615;201;57;147;117;-;156
2012;Insgesamt;Deutsche;männlich;40587;51705;9210;7086;3159;6867;21498;4851;33651;70062;15960;4299;11103;7053;11547;6720
2012;Insgesamt;Deutsche;weiblich;28026;36609;7299;4044;2457;5475;14229;3234;22512;45567;10428;2877;7074;4302;8052;3927
2012;Insgesamt;Deutsche;Insgesamt;68613;88314;16509;11130;5616;12342;35724;8085;56163;115629;26388;7176;18177;11358;19599;10647
2012;Insgesamt;Ausländer;männlich;4473;3768;573;78;162;516;2058;66;1011;4146;780;168;117;33;243;99
2012;Insgesamt;Ausländer;weiblich;3678;2814;597;48;150;456;1605;45;741;3282;630;171;84;33;201;57
2012;Insgesamt;Ausländer;Insgesamt;8151;6582;1170;126;312;972;3663;111;1752;7428;1410;342;198;66;444;156
2012;Insgesamt;Insgesamt;männlich;45060;55473;9783;7164;3321;7386;23556;4917;34662;74208;16740;4467;11220;7086;11790;6819
2012;Insgesamt;Insgesamt;weiblich;31704;39423;7896;4092;2607;5931;15831;3279;23250;48849;11058;3048;7158;4335;8253;3984
2012;Insgesamt;Insgesamt;Insgesamt;76764;94896;17679;11256;5931;13317;39387;8196;57915;123060;27798;7515;18378;11421;20043;10806
2013;Industrie und Handel;Deutsche;männlich;24735;29118;5229;3864;2190;4824;12648;2904;17709;42387;8760;2241;6864;4095;5730;4038
2013;Industrie und Handel;Deutsche;weiblich;16218;21150;3750;2244;1491;3663;8547;1905;12240;27312;5640;1629;4047;2568;4281;2277
2013;Industrie und Handel;Deutsche;Insgesamt;40953;50268;8979;6108;3681;8487;21195;4812;29949;69702;14400;3867;10911;6663;10011;6315
2013;Industrie und Handel;Ausländer;männlich;2631;2433;357;78;111;315;1245;117;582;2463;375;75;78;81;126;105
2013;Industrie und Handel;Ausländer;weiblich;1746;1605;267;39;72;213;795;108;360;1353;216;51;69;24;102;54
2013;Industrie und Handel;Ausländer;Insgesamt;4377;4035;624;117;183;528;2040;225;942;3816;594;126;147;105;228;159
2013;Industrie und Handel;Insgesamt;männlich;27366;31551;5586;3942;2301;5139;13893;3021;18291;44850;9135;2316;6942;4176;5856;4143
2013;Industrie und Handel;Insgesamt;weiblich;17964;22755;4017;2283;1563;3876;9342;2013;12597;28665;5859;1680;4116;2592;4383;2331
2013;Industrie und Handel;Insgesamt;Insgesamt;45327;54303;9603;6225;3864;9015;23235;5034;30891;73518;14994;3993;11058;6768;10242;6474
2013;Handwerk;Deutsche;männlich;12684;18381;2484;1935;720;1473;6630;1296;12102;21519;5478;1500;3084;1914;4500;1872
2013;Handwerk;Deutsche;weiblich;3942;5781;1092;525;342;567;1842;405;3654;6129;1695;516;1077;540;1422;489
2013;Handwerk;Deutsche;Insgesamt;16626;24159;3579;2457;1062;2040;8472;1701;15756;27648;7173;2016;4161;2457;5925;2361
2013;Handwerk;Ausländer;männlich;1812;1596;189;42;54;183;852;42;474;1704;441;105;75;24;150;48
2013;Handwerk;Ausländer;weiblich;795;513;117;15;27;60;258;9;153;633;168;21;36;6;48;12
2013;Handwerk;Ausländer;Insgesamt;2607;2106;303;60;81;243;1110;54;627;2340;609;126;111;30;198;60
2013;Handwerk;Insgesamt;männlich;14496;19974;2673;1977;774;1656;7482;1338;12576;23226;5919;1602;3159;1938;4650;1920
2013;Handwerk;Insgesamt;weiblich;4737;6291;1209;540;369;627;2097;417;3804;6762;1863;540;1113;549;1470;501
2013;Handwerk;Insgesamt;Insgesamt;19233;26268;3882;2517;1143;2283;9582;1755;16380;29988;7782;2142;4272;2487;6120;2418
2013;Landwirtschaft;Deutsche;männlich;1125;1584;162;324;42;84;537;291;1599;2028;543;114;486;330;606;276
2013;Landwirtschaft;Deutsche;weiblich;357;474;48;132;12;21;171;57;456;444;147;45;201;102;225;99
2013;Landwirtschaft;Deutsche;Insgesamt;1482;2058;210;456;54;105;705;348;2052;2472;690;156;687;432;831;375
2013;Landwirtschaft;Ausländer;männlich;18;6;6;0;3;6;12;0;9;27;3;3;-;3;3;0
2013;Landwirtschaft;Ausländer;weiblich;6;3;0;3;0;0;0;0;3;0;3;-;0;-;0;-
2013;Landwirtschaft;Ausländer;Insgesamt;27;9;6;3;3;6;12;3;15;27;6;3;0;3;3;0
2013;Landwirtschaft;Insgesamt;männlich;1146;1590;168;324;45;90;546;291;1608;2055;546;114;486;333;609;279
2013;Landwirtschaft;Insgesamt;weiblich;363;477;48;135;12;24;171;60;459;447;150;45;204;102;225;99
2013;Landwirtschaft;Insgesamt;Insgesamt;1509;2067;216;459;57;111;717;351;2067;2499;696;159;690;435;834;378
2013;Öffentlicher Dienst;Deutsche;männlich;495;522;219;132;30;69;321;90;525;972;228;30;186;129;147;87
2013;Öffentlicher Dienst;Deutsche;weiblich;1329;885;462;234;81;177;681;132;729;1638;336;51;375;189;249;165
2013;Öffentlicher Dienst;Deutsche;Insgesamt;1821;1407;681;369;111;246;1002;225;1257;2607;564;81;561;318;396;249
2013;Öffentlicher Dienst;Ausländer;männlich;18;9;9;3;3;3;9;-;3;12;0;0;0;0;-;0
2013;Öffentlicher Dienst;Ausländer;weiblich;72;21;6;9;3;3;27;0;3;33;3;0;0;0;0;0
2013;Öffentlicher Dienst;Ausländer;Insgesamt;90;27;15;9;3;6;33;0;6;45;3;0;0;0;0;0
2013;Öffentlicher Dienst;Insgesamt;männlich;513;528;228;135;33;72;330;90;528;984;228;30;186;129;147;87
2013;Öffentlicher Dienst;Insgesamt;weiblich;1401;906;471;243;84;180;708;135;732;1668;339;51;375;189;249;165
2013;Öffentlicher Dienst;Insgesamt;Insgesamt;1914;1434;696;378;114;252;1035;225;1260;2652;567;81;561;318;396;249
2013;Freie Berufe;Deutsche;männlich;225;342;129;54;27;87;159;51;330;714;114;39;93;54;141;36
2013;Freie Berufe;Deutsche;weiblich;4365;6390;1284;465;372;795;2439;399;4092;8277;1716;438;777;435;1353;384
2013;Freie Berufe;Deutsche;Insgesamt;4590;6732;1416;519;402;882;2598;450;4422;8991;1833;477;870;489;1494;420
2013;Freie Berufe;Ausländer;männlich;15;33;9;0;0;3;12;0;6;24;6;3;3;-;0;0
2013;Freie Berufe;Ausländer;weiblich;861;804;180;12;51;168;297;6;144;1056;204;45;18;9;63;3
2013;Freie Berufe;Ausländer;Insgesamt;876;837;189;12;51;171;309;6;150;1083;210;48;21;9;63;3
2013;Freie Berufe;Insgesamt;männlich;240;372;141;54;27;90;171;51;336;738;120;42;96;54;144;36
2013;Freie Berufe;Insgesamt;weiblich;5226;7194;1464;477;423;963;2736;405;4236;9336;1920;483;795;444;1416;387
2013;Freie Berufe;Insgesamt;Insgesamt;5466;7569;1605;531;450;1053;2907;459;4572;10074;2043;525;891;498;1557;423
2013;Hauswirtschaft;Deutsche;männlich;18;21;9;9;6;0;-;12;33;33;12;6;9;15;-;15
2013;Hauswirtschaft;Deutsche;weiblich;378;297;81;63;48;9;-;75;336;456;174;51;126;81;-;111
2013;Hauswirtschaft;Deutsche;Insgesamt;396;318;90;75;54;9;-;90;366;489;186;57;135;96;-;126
2013;Hauswirtschaft;Ausländer;männlich;0;3;0;-;-;3;-;-;0;9;0;-;-;-;-;-
2013;Hauswirtschaft;Ausländer;weiblich;63;6;0;-;3;3;-;-;15;33;12;3;-;0;-;0
2013;Hauswirtschaft;Ausländer;Insgesamt;66;9;0;-;3;6;-;-;15;42;12;3;-;0;-;0
2013;Hauswirtschaft;Insgesamt;männlich;18;24;9;9;6;3;-;12;33;42;15;6;9;15;-;15
2013;Hauswirtschaft;Insgesamt;weiblich;441;303;81;63;51;12;-;75;351;489;186;54;126;81;-;111
2013;Hauswirtschaft;Insgesamt;Insgesamt;459;327;90;75;57;15;-;90;384;531;201;60;135;96;-;129
2013;Insgesamt;Deutsche;männlich;39279;49968;8235;6318;3015;6537;20295;4647;32298;67656;15135;3927;10722;6537;11127;6324
2013;Insgesamt;Deutsche;weiblich;26586;34974;6720;3666;2346;5232;13677;2979;21504;44256;9711;2730;6606;3915;7530;3522
2013;Insgesamt;Deutsche;Insgesamt;65868;84942;14955;9984;5364;11769;33972;7626;53802;111912;24846;6657;17328;10455;18657;9846
2013;Insgesamt;Ausländer;männlich;4494;4074;567;123;171;513;2130;162;1077;4242;828;183;156;108;279;153
2013;Insgesamt;Ausländer;weiblich;3546;2949;570;75;156;447;1374;126;678;3111;606;120;123;42;213;69
2013;Insgesamt;Ausländer;Insgesamt;8040;7026;1137;201;327;960;3507;288;1755;7350;1434;306;279;147;492;225
2013;Insgesamt;Insgesamt;männlich;43776;54042;8805;6444;3186;7050;22425;4809;33375;71895;15966;4110;10878;6645;11406;6477
2013;Insgesamt;Insgesamt;weiblich;30132;37926;7290;3741;2502;5679;15054;3105;22182;47367;10317;2853;6729;3957;7743;3594
2013;Insgesamt;Insgesamt;Insgesamt;73908;91968;16092;10185;5688;12729;37479;7911;55554;119262;26280;6963;17607;10602;19152;10071
2014;Industrie und Handel;Deutsche;männlich;24357;28596;5202;3771;2157;4848;12849;2670;17448;41160;8601;2322;6927;4026;5673;3993
2014;Industrie und Handel;Deutsche;weiblich;15903;20415;3597;2103;1458;3513;8166;1767;12153;25626;5550;1533;4035;2508;4395;2244
2014;Industrie und Handel;Deutsche;Insgesamt;40260;49011;8799;5877;3615;8361;21015;4440;29604;66786;14151;3855;10962;6534;10068;6237
2014;Industrie und Handel;Ausländer;männlich;2709;2676;336;96;105;348;1194;237;651;2511;474;63;162;93;174;117
2014;Industrie und Handel;Ausländer;weiblich;1857;1668;255;75;84;210;801;180;408;1428;303;48;93;45;93;51
2014;Industrie und Handel;Ausländer;Insgesamt;4566;4344;591;171;189;558;1998;417;1059;3939;774;111;255;135;264;168
2014;Industrie und Handel;Insgesamt;männlich;27066;31272;5541;3867;2262;5196;14043;2907;18102;43671;9075;2385;7089;4119;5847;4110
2014;Industrie und Handel;Insgesamt;weiblich;17760;22083;3849;2178;1542;3723;8970;1947;12561;27051;5850;1581;4128;2553;4485;2295
2014;Industrie und Handel;Insgesamt;Insgesamt;44826;53355;9390;6048;3804;8919;23013;4854;30663;70725;14925;3966;11217;6669;10332;6405
2014;Handwerk;Deutsche;männlich;12360;17979;2394;1869;687;1512;6366;1368;12111;20289;5412;1467;3291;2022;4491;1821
2014;Handwerk;Deutsche;weiblich;3948;5604;948;492;288;543;1782;378;3738;6099;1668;462;1176;594;1296;513
2014;Handwerk;Deutsche;Insgesamt;16308;23583;3339;2361;975;2055;8148;1746;15852;26388;7080;1929;4464;2613;5787;2331
2014;Handwerk;Ausländer;männlich;1992;1764;243;60;57;204;768;72;525;1698;462;108;114;48;171;39
2014;Handwerk;Ausländer;weiblich;807;534;123;15;27;75;258;15;183;606;156;39;36;15;60;15
2014;Handwerk;Ausländer;Insgesamt;2799;2298;363;75;84;279;1026;84;708;2301;618;147;150;66;231;57
2014;Handwerk;Insgesamt;männlich;14352;19743;2634;1929;744;1716;7134;1440;12636;21987;5871;1575;3405;2070;4662;1860
2014;Handwerk;Insgesamt;weiblich;4755;6138;1068;507;315;618;2040;393;3921;6705;1827;501;1212;609;1356;528
2014;Handwerk;Insgesamt;Insgesamt;19107;25881;3705;2436;1059;2334;9174;1830;16560;28689;7698;2076;4617;2679;6018;2388
2014;Landwirtschaft;Deutsche;männlich;1125;1608;177;324;39;96;546;318;1608;1902;507;102;525;321;606;324
2014;Landwirtschaft;Deutsche;weiblich;363;468;48;132;18;36;150;87;492;432;153;42;219;108;195;108
2014;Landwirtschaft;Deutsche;Insgesamt;1488;2079;225;456;54;132;696;405;2100;2337;660;144;741;426;801;432
2014;Landwirtschaft;Ausländer;männlich;30;12;3;3;0;3;24;0;24;24;9;0;-;0;6;0
2014;Landwirtschaft;Ausländer;weiblich;15;3;3;0;0;0;3;0;9;9;3;-;-;0;3;0
2014;Landwirtschaft;Ausländer;Insgesamt;45;15;6;6;0;6;27;0;33;33;12;0;-;3;9;3
2014;Landwirtschaft;Insgesamt;männlich;1158;1620;180;327;39;102;570;318;1629;1926;516;102;525;321;612;324
2014;Landwirtschaft;Insgesamt;weiblich;378;471;51;132;18;36;153;87;501;444;156;42;219;108;198;111
2014;Landwirtschaft;Insgesamt;Insgesamt;1533;2091;231;459;54;138;723;405;2130;2370;672;144;741;429;810;435
2014;Öffentlicher Dienst;Deutsche;männlich;471;564;192;156;45;42;300;90;561;963;243;33;165;129;186;111
2014;Öffentlicher Dienst;Deutsche;weiblich;1293;1020;486;252;78;114;645;150;813;1530;345;51;375;207;264;147
2014;Öffentlicher Dienst;Deutsche;Insgesamt;1761;1584;678;408;123;159;945;240;1374;2493;588;84;540;336;447;258
2014;Öffentlicher Dienst;Ausländer;männlich;24;15;0;0;0;0;6;3;3;18;3;0;0;-;-;-
2014;Öffentlicher Dienst;Ausländer;weiblich;54;27;9;0;3;3;15;3;0;33;3;3;0;0;0;0
2014;Öffentlicher Dienst;Ausländer;Insgesamt;78;42;12;3;3;3;21;3;3;51;6;3;3;0;0;0
2014;Öffentlicher Dienst;Insgesamt;männlich;495;579;195;156;45;42;306;90;567;978;246;33;165;129;186;111
2014;Öffentlicher Dienst;Insgesamt;weiblich;1344;1047;495;255;81;120;660;153;813;1563;348;51;375;207;264;147
2014;Öffentlicher Dienst;Insgesamt;Insgesamt;1839;1626;690;411;126;162;966;243;1377;2544;594;87;540;336;447;258
2014;Freie Berufe;Deutsche;männlich;213;423;153;51;24;84;180;57;315;657;147;42;90;51;132;39
2014;Freie Berufe;Deutsche;weiblich;4455;6417;1305;519;339;597;2193;330;3840;8040;1710;471;765;354;1434;429
2014;Freie Berufe;Deutsche;Insgesamt;4668;6840;1458;570;363;681;2370;387;4155;8697;1857;513;855;405;1566;468
2014;Freie Berufe;Ausländer;männlich;21;30;12;3;0;12;27;3;6;30;9;0;0;-;3;0
2014;Freie Berufe;Ausländer;weiblich;948;960;228;9;63;396;504;9;132;1020;222;45;24;12;63;9
2014;Freie Berufe;Ausländer;Insgesamt;969;990;240;9;63;408;531;12;138;1050;234;45;24;12;66;9
2014;Freie Berufe;Insgesamt;männlich;234;453;165;51;24;96;207;57;321;690;156;42;90;51;132;39
2014;Freie Berufe;Insgesamt;weiblich;5403;7377;1533;528;402;993;2697;339;3972;9060;1932;516;789;366;1500;438
2014;Freie Berufe;Insgesamt;Insgesamt;5634;7830;1698;579;426;1086;2904;396;4293;9747;2088;558;876;417;1632;477
2014;Hauswirtschaft;Deutsche;männlich;27;18;3;15;3;6;-;9;30;51;9;3;12;12;-;9
2014;Hauswirtschaft;Deutsche;weiblich;321;249;69;75;27;27;-;66;300;423;156;39;105;72;-;117
2014;Hauswirtschaft;Deutsche;Insgesamt;348;267;72;90;27;30;-;75;333;474;165;42;117;84;-;129
2014;Hauswirtschaft;Ausländer;männlich;3;0;0;-;-;0;-;-;0;3;0;0;-;-;-;-
2014;Hauswirtschaft;Ausländer;weiblich;48;3;6;-;6;3;-;-;9;30;9;3;-;3;-;0
2014;Hauswirtschaft;Ausländer;Insgesamt;54;3;6;-;6;3;-;-;9;33;9;3;-;3;-;0
2014;Hauswirtschaft;Insgesamt;männlich;30;18;3;15;3;6;-;9;33;54;9;3;12;12;-;9
2014;Hauswirtschaft;Insgesamt;weiblich;369;252;75;75;33;30;-;66;309;456;165;42;105;72;-;120
2014;Hauswirtschaft;Insgesamt;Insgesamt;402;270;78;90;36;33;-;75;342;510;174;45;117;84;-;129
2014;Insgesamt;Deutsche;männlich;38553;49188;8124;6183;2952;6588;20238;4512;32076;65025;14916;3969;11007;6558;11085;6300
2014;Insgesamt;Deutsche;weiblich;26280;34173;6450;3573;2205;4827;12936;2781;21339;42150;9582;2598;6672;3840;7584;3555
2014;Insgesamt;Deutsche;Insgesamt;64833;83361;14571;9759;5157;11418;33174;7293;53415;107175;24498;6567;17679;10398;18669;9855
2014;Insgesamt;Ausländer;männlich;4782;4497;594;162;162;567;2019;312;1212;4284;954;174;279;141;354;159
2014;Insgesamt;Ausländer;weiblich;3729;3192;624;99;183;690;1584;204;741;3126;696;138;153;75;219;81
2014;Insgesamt;Ausländer;Insgesamt;8511;7692;1218;264;348;1254;3603;516;1950;7410;1653;312;429;216;573;237
2014;Insgesamt;Insgesamt;männlich;43332;53685;8718;6348;3114;7155;22260;4824;33288;69306;15873;4143;11283;6699;11439;6456
2014;Insgesamt;Insgesamt;weiblich;30009;37368;7071;3675;2391;5517;14520;2985;22077;45276;10278;2736;6825;3915;7803;3636
